MW,Sv,Se,Sp,Si,nAT,nBT,nBM,nDB,nAB,nHM,nHet,totalcharge,nCIR,MCD,NRS,NNRS,D/Dtr05,D/Dtr06,Ges,Hy,NAME,Type
59.08,4.79,9.196,4.983,10.538,9,8,1,1,0,0,2,0,0,0,0,0,0,0,4,1.769,2095,fda
60.07,4.284,8.415,4.227,9.621,8,7,1,1,0,0,3,0,0,0,0,0,0,0,3,5,949,fda
61.05,3.978,7.64,3.676,8.332,7,6,1,1,0,0,3,0,0,0,0,0,0,0,4,1.985,2138,fda
67.53,4.429,9.076,5.148,10.688,9,7,0,0,0,1,2,0,0,0,0,0,0,0,2,2.349,2130,fda
68.09,5.57,9.087,5.773,10.412,9,9,5,0,5,0,2,0,1,1,1,1,9.167,0,5,0.312,2092,fda
68.09,5.57,9.087,5.773,10.412,9,9,5,0,5,0,2,0,1,1,1,1,9.167,0,5,0.312,2454,fda
69.5,3.617,7.52,3.841,8.482,7,5,0,0,0,1,3,0,0,0,0,0,0,0,2,4.289,1911,fda
75.08,5.505,10.524,5.437,11.747,10,9,1,1,0,0,3,0,0,0,0,0,0,0,5,1.59,1440,fda
75.08,5.505,10.524,5.437,11.747,10,9,1,1,0,0,3,0,0,0,0,0,0,0,5,2.87,2781,fda
75.912,6.125,7.513,30.739,8.001,8,6,1,1,0,0,5,0,0,0,0,0,0,0,5,-0.153,2867,fda
76.06,5.198,9.749,4.886,10.459,9,8,1,1,0,0,3,0,0,0,0,0,0,0,5,1.59,2140,fda
76.07,4.999,9.742,4.682,10.831,9,8,1,1,0,0,4,0,0,0,0,0,0,0,5,4.466,395,fda
76.11,6.537,13.189,6.955,15.08,13,12,0,0,0,0,2,0,0,0,0,0,0,0,5,1.41,2137,fda
77.17,5.789,10.829,6.938,12.664,11,10,0,0,0,1,2,0,0,0,0,0,0,0,4,3.201,2154,fda
81.081,5.326,3.44,16.682,3.667,4,3,1,0,0,2,3,0,0,0,0,0,0,0,4,-0.215,2142,fda
81.56,5.956,11.96,6.909,14.103,12,10,0,0,0,1,2,0,0,0,0,0,0,0,2,0.538,2120,fda
82.041,6.601,7.684,17.46,8.498,8,6,1,1,0,1,3,0,0,0,0,0,0,0,3,-0.359,2895,fda
82.12,7.096,11.971,7.534,13.827,12,12,5,0,5,0,2,0,1,0.833,1,1,12.467,0,6,0.158,295,fda
88.07,6.198,10.749,5.886,11.459,10,9,2,2,0,0,3,0,0,0,0,0,0,0,6,0.311,2459,fda
89.11,7.031,13.407,7.199,15.163,13,12,1,1,0,0,3,0,0,0,0,0,0,0,6,1.317,1400,fda
89.11,7.031,13.407,7.199,15.163,13,12,1,1,0,0,3,0,0,0,0,0,0,0,6,2.492,2805,fda
89.11,7.031,13.407,7.199,15.163,13,12,1,1,0,0,3,0,0,0,0,0,0,0,6,2.492,2814,fda
89.11,7.031,13.407,7.199,15.163,13,12,1,1,0,0,3,0,0,0,0,0,0,0,6,2.492,2868,fda
90.04,5.386,9.193,4.579,9.253,8,7,2,2,0,0,4,0,0,0,0,0,0,0,3,1.471,2333,fda
90.09,6.725,12.633,6.648,13.874,12,11,1,1,0,0,3,0,0,0,0,0,0,0,6,1.317,2134,fda
95.55,5.945,11.396,6.398,13.269,11,9,1,1,0,1,4,0,0,0,0,0,0,0,3,5.993,1146,fda
97.08,6.978,10.64,6.676,11.332,10,10,3,3,0,0,3,0,1,0.714,1,1,15.767,0,4,0.18,2458,fda
97.56,6.671,13.287,7.364,15.312,13,11,0,0,0,1,3,0,0,0,0,0,0,0,4,2.87,2123,fda
98.148,8.453,7.644,28.71,8.427,8,7,1,1,0,1,3,0,0,0,0,0,0,0,5,-0.359,1572,fda
102.11,7.526,13.625,7.443,15.246,13,13,1,1,0,0,4,0,1,0.714,1,1,15.767,0,7,2.348,1063,fda
102.11,7.526,13.625,7.443,15.246,13,13,1,1,0,0,4,0,1,0.714,1,1,15.767,0,7,2.348,2672,fda
103.14,8.558,16.291,8.96,18.578,16,15,1,1,0,0,3,0,0,0,0,0,0,0,7,2.214,2772,fda
104.07,6.913,12.076,6.341,12.668,11,10,2,2,0,0,4,0,0,0,0,0,0,0,4,1.251,2451,fda
105.11,7.746,14.735,7.653,16.372,14,13,1,1,0,0,4,0,0,0,0,0,0,0,7,3.564,2807,fda
105.11,7.746,14.735,7.653,16.372,14,13,1,1,0,0,4,0,0,0,0,0,0,0,7,3.564,2831,fda
105.11,7.746,14.735,7.653,16.372,14,13,1,1,0,0,4,0,0,0,0,0,0,0,7,3.564,2839,fda
105.992,7.906,5.389,29.182,5.541,6,5,1,1,0,2,5,0,0,0,0,0,0,0,4,-0.153,2783,fda
107.13,8.273,16.618,8.415,18.787,16,14,1,1,0,0,4,0,0,0,0,0,0,0,5,4.875,1945,fda
108.15,9.822,15.862,10.5,17.87,16,16,6,0,6,0,1,0,1,0.75,1,1,0,22.457,6,-0.158,1438,fda
109.15,9.118,15.073,9.54,17.325,15,15,6,0,6,0,3,0,1,0.75,1,1,0,22.133,8,3.15,1450,fda
110.101,9.654,13.451,20.983,15.328,14,12,1,1,0,1,3,0,0,0,0,0,0,0,5,-0.535,2673,fda
110.57,6.967,13.498,7.404,15.768,13,11,1,1,0,1,5,0,0,0,0,0,0,0,5,6.992,1403,fda
111.12,8.306,13.516,8.233,15.119,13,13,3,3,0,0,4,0,1,0.75,1,1,0,22.133,8,2.119,1608,fda
111.17,9.645,16.956,10.301,19.74,17,17,5,0,5,0,3,0,1,0.625,1,1,19.876,0,8,2.001,1073,fda
112.071,8.842,11.895,19.676,13.123,12,10,1,1,0,1,4,0,0,0,0,0,0,0,5,0.313,2094,fda
112.1,7.999,12.742,7.682,13.831,12,12,3,3,0,0,4,0,1,0.75,1,1,0,22.133,8,1.083,1220,fda
112.14,9.537,16.189,9.955,18.08,16,15,3,3,0,0,2,0,0,0,0,0,0,0,8,-0.039,1632,fda
113.14,8.833,15.4,8.994,17.535,15,15,2,2,0,0,4,0,1,0.625,1,1,19.067,0,8,1.083,2704,fda
113.63,7.143,13.036,8.557,15.023,13,11,0,0,0,2,3,0,0,0,0,0,0,0,4,2.87,1242,fda
114.19,8.284,13.047,9.182,14.747,13,13,2,2,0,1,3,0,1,0.714,1,1,15.767,0,7,0.18,224,fda
115.15,9.558,17.291,9.96,19.578,17,17,1,1,0,0,3,0,1,0.625,1,1,19.667,0,8,0.964,2812,fda
115.25,12.236,24.171,14.097,28.82,25,24,0,0,0,0,1,0,0,0,0,0,0,0,8,0.728,1382,fda
116.08,7.913,13.076,7.341,13.668,12,11,3,3,0,0,4,0,0,0,0,0,0,0,4,1.083,1618,fda
116.08,7.913,13.076,7.341,13.668,12,11,3,3,0,0,4,0,0,0,0,0,0,0,4,1.083,2453,fda
116.13,9.252,16.516,9.409,18.289,16,15,2,2,0,0,3,0,0,0,0,0,0,0,8,0.079,2122,fda
116.18,10.59,19.956,11.477,22.91,20,19,1,1,0,0,2,0,0,0,0,0,0,0,8,-0.039,2463,fda
116.21,8.81,14.931,9.943,17.162,15,14,2,2,0,1,3,0,0,0,0,0,0,0,7,2.214,1105,fda
117.16,10.602,15.753,11.29,17.744,16,17,10,0,10,0,1,0,3,1,1,0.5,12.724,15.679,8,-0.213,2472,fda
117.17,10.085,19.174,10.722,21.993,19,18,1,1,0,0,3,0,0,0,0,0,0,0,5,-0.591,994,fda
117.17,10.085,19.174,10.722,21.993,19,18,1,1,0,0,3,0,0,0,0,0,0,0,7,2.001,2811,fda
118.1,8.44,14.96,8.102,16.083,14,13,2,2,0,0,4,0,0,0,0,0,0,0,4,1.083,1011,fda
118.2,11.117,21.84,12.239,25.325,22,21,0,0,0,0,2,0,0,0,0,0,0,0,7,0.846,2495,fda
119.14,9.273,17.618,9.415,19.787,17,16,1,1,0,0,4,0,0,0,0,0,0,0,8,3.268,2785,fda
120.13,9.086,13.407,9.023,14.993,13,14,10,0,10,0,4,0,3,1,1,0.5,12.724,15.679,9,0.105,2615,fda
